GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:1901700	response to oxygen-containing compound	956	94	59.19	4.4e-07
GO:0065009	regulation of molecular function	943	93	58.39	4.5e-07
GO:0070647	protein modification by small protein co...	362	47	22.41	4.5e-07
GO:0007010	cytoskeleton organization	678	73	41.98	4.6e-07
GO:0009056	catabolic process	1443	128	89.34	4.7e-07
GO:2000112	regulation of cellular macromolecule bio...	1170	109	72.44	5.5e-07
GO:0031399	regulation of protein modification proce...	605	67	37.46	5.6e-07
GO:0060548	negative regulation of cell death	568	64	35.17	5.8e-07
GO:0009890	negative regulation of biosynthetic proc...	673	72	41.67	7.3e-07
GO:0019438	aromatic compound biosynthetic process	1207	111	74.73	8.0e-07
GO:0045087	innate immune response	291	40	18.02	8.4e-07
GO:0002684	positive regulation of immune system pro...	314	42	19.44	9.1e-07
GO:0006351	DNA-templated transcription	917	90	56.78	9.7e-07
GO:0051234	establishment of localization	2179	174	134.91	1.1e-06
GO:0006725	cellular aromatic compound metabolic pro...	2163	173	133.92	1.1e-06
GO:0018130	heterocycle biosynthetic process	1214	111	75.16	1.1e-06
GO:0042981	regulation of apoptotic process	681	72	42.16	1.2e-06
GO:0097659	nucleic acid-templated transcription	923	90	57.15	1.3e-06
GO:0006396	RNA processing	646	69	40	1.4e-06
GO:0032774	RNA biosynthetic process	925	90	57.27	1.4e-06
GO:0044260	cellular macromolecule metabolic process	2436	189	150.82	1.5e-06
GO:0065003	protein-containing complex assembly	1094	102	67.73	1.6e-06
GO:0051253	negative regulation of RNA metabolic pro...	535	60	33.12	1.7e-06
GO:0050767	regulation of neurogenesis	367	46	22.72	1.7e-06
GO:0043067	regulation of programmed cell death	689	72	42.66	1.8e-06
GO:0051240	positive regulation of multicellular org...	638	68	39.5	1.9e-06
GO:0010556	regulation of macromolecule biosynthetic...	1198	109	74.17	1.9e-06
GO:0046483	heterocycle metabolic process	2165	172	134.04	2.1e-06
GO:0032880	regulation of protein localization	455	53	28.17	2.5e-06
GO:0006996	organelle organization	1637	138	101.35	2.8e-06
GO:1901362	organic cyclic compound biosynthetic pro...	1266	113	78.38	3.0e-06
GO:0019637	organophosphate metabolic process	637	67	39.44	3.8e-06
GO:0002366	leukocyte activation involved in immune ...	441	51	27.3	5.0e-06
GO:0002263	cell activation involved in immune respo...	442	51	27.37	5.3e-06
GO:0006606	protein import into nucleus	106	20	6.56	5.3e-06
GO:0002682	regulation of immune system process	456	52	28.23	6.0e-06
GO:0019222	regulation of metabolic process	2138	168	132.37	8.1e-06
GO:0044087	regulation of cellular component biogene...	538	58	33.31	9.4e-06
GO:0045935	positive regulation of nucleobase-contai...	630	65	39.01	1.1e-05
GO:0080134	regulation of response to stress	516	56	31.95	1.1e-05
GO:0031326	regulation of cellular biosynthetic proc...	1272	111	78.75	1.2e-05
GO:0006915	apoptotic process	779	76	48.23	1.2e-05
GO:1901360	organic cyclic compound metabolic proces...	2216	172	137.2	1.3e-05
GO:0045321	leukocyte activation	508	55	31.45	1.5e-05
GO:0051049	regulation of transport	637	65	39.44	1.5e-05
GO:0001775	cell activation	547	58	33.87	1.6e-05
GO:0098542	defense response to other organism	447	50	27.68	1.6e-05
GO:0006357	regulation of transcription by RNA polym...	678	68	41.98	1.7e-05
GO:0051179	localization	2508	189	155.28	1.8e-05
GO:0010033	response to organic substance	1400	119	86.68	1.8e-05
GO:0002283	neutrophil activation involved in immune...	412	47	25.51	1.8e-05
GO:0002446	neutrophil mediated immunity	412	47	25.51	1.8e-05
GO:0042119	neutrophil activation	412	47	25.51	1.8e-05
GO:0043312	neutrophil degranulation	412	47	25.51	1.8e-05
GO:0033554	cellular response to stress	885	83	54.79	2.0e-05
GO:0043299	leukocyte degranulation	414	47	25.63	2.1e-05
GO:0009889	regulation of biosynthetic process	1300	112	80.49	2.1e-05
GO:0036230	granulocyte activation	415	47	25.69	2.2e-05
GO:1901135	carbohydrate derivative metabolic proces...	658	66	40.74	2.3e-05
GO:0002275	myeloid cell activation involved in immu...	416	47	25.76	2.3e-05
GO:0051173	positive regulation of nitrogen compound...	1030	93	63.77	2.5e-05
GO:0002444	myeloid leukocyte mediated immunity	419	47	25.94	2.8e-05
GO:0019219	regulation of nucleobase-containing comp...	1134	100	70.21	2.9e-05
GO:0051130	positive regulation of cellular componen...	637	64	39.44	3.0e-05
GO:0051252	regulation of RNA metabolic process	1035	93	64.08	3.0e-05
GO:0070887	cellular response to chemical stimulus	1298	111	80.36	3.3e-05
GO:0051170	import into nucleus	139	22	8.61	3.4e-05
GO:0002274	myeloid leukocyte activation	423	47	26.19	3.6e-05
GO:0051248	negative regulation of protein metabolic...	563	58	34.86	3.8e-05
GO:0042255	ribosome assembly	140	22	8.67	3.8e-05
GO:0009967	positive regulation of signal transducti...	512	54	31.7	3.9e-05
GO:0017038	protein import	121	20	7.49	4.1e-05
GO:0012501	programmed cell death	821	77	50.83	4.6e-05
GO:0060341	regulation of cellular localization	567	58	35.11	4.7e-05
GO:0051603	proteolysis involved in protein cataboli...	367	42	22.72	5.0e-05
GO:0002443	leukocyte mediated immunity	429	47	26.56	5.2e-05
GO:0031325	positive regulation of cellular metaboli...	1078	95	66.74	5.4e-05
GO:0061077	chaperone-mediated protein folding	124	20	7.68	5.9e-05
GO:0010628	positive regulation of gene expression	827	77	51.2	6.0e-05
GO:0051094	positive regulation of developmental pro...	559	57	34.61	6.1e-05
GO:0031329	regulation of cellular catabolic process	496	52	30.71	6.5e-05
GO:1902531	regulation of intracellular signal trans...	587	59	36.34	6.7e-05
GO:0006366	transcription by RNA polymerase II	725	69	44.89	8.3e-05
GO:0051172	negative regulation of nitrogen compound...	922	83	57.08	9.5e-05
GO:0032268	regulation of cellular protein metabolic...	1037	91	64.2	0.00010
GO:0060284	regulation of cell development	441	47	27.3	0.00010
GO:0015985	energy coupled proton transport, down el...	48	11	2.97	0.00012
GO:0015986	proton motive force-driven ATP synthesis	48	11	2.97	0.00012
GO:0033043	regulation of organelle organization	618	60	38.26	0.00016
GO:0019538	protein metabolic process	2233	168	138.25	0.00017
GO:0051960	regulation of nervous system development	438	46	27.12	0.00018
GO:0031047	gene silencing by RNA	134	20	8.3	0.00018
GO:0035194	post-transcriptional gene silencing by R...	134	20	8.3	0.00018
GO:0010604	positive regulation of macromolecule met...	1141	97	70.64	0.00019
GO:0042127	regulation of cell population proliferat...	582	57	36.03	0.00019
GO:0043933	protein-containing complex organization	1245	104	77.08	0.00020
GO:0046822	regulation of nucleocytoplasmic transpor...	77	14	4.77	0.00021
GO:0042306	regulation of protein import into nucleu...	51	11	3.16	0.00022
GO:0042147	retrograde transport, endosome to Golgi	43	10	2.66	0.00022
GO:0007568	aging	507	51	31.39	0.00023
GO:0016441	post-transcriptional gene silencing	137	20	8.48	0.00024
GO:0051338	regulation of transferase activity	298	34	18.45	0.00030
GO:0051050	positive regulation of transport	424	44	26.25	0.00033
GO:0009894	regulation of catabolic process	528	52	32.69	0.00033
GO:0006796	phosphate-containing compound metabolic ...	1174	98	72.69	0.00035
GO:0006793	phosphorus metabolic process	1176	98	72.81	0.00037
GO:0010941	regulation of cell death	817	73	50.58	0.00038
GO:1904589	regulation of protein import	55	11	3.41	0.00044
GO:0031324	negative regulation of cellular metaboli...	1006	86	62.29	0.00044
GO:0006952	defense response	549	53	33.99	0.00048
GO:0051254	positive regulation of RNA metabolic pro...	536	52	33.19	0.00048
GO:0019953	sexual reproduction	981	84	60.74	0.00050
GO:0035556	intracellular signal transduction	827	73	51.2	0.00055
GO:0051246	regulation of protein metabolic process	1100	92	68.11	0.00055
GO:0045595	regulation of cell differentiation	688	63	42.6	0.00055
GO:0009893	positive regulation of metabolic process	1223	100	75.72	0.00065
GO:0042592	homeostatic process	818	72	50.65	0.00066
GO:0045055	regulated exocytosis	505	49	31.27	0.00072
GO:0032879	regulation of localization	920	79	56.96	0.00072
GO:1901564	organonitrogen compound metabolic proces...	2821	200	174.66	0.00075
GO:0042254	ribosome biogenesis	327	35	20.25	0.00081
GO:0010648	negative regulation of cell communicatio...	508	49	31.45	0.00082
GO:0023057	negative regulation of signaling	508	49	31.45	0.00082
GO:0030182	neuron differentiation	783	69	48.48	0.00086
GO:0071236	cellular response to antibiotic	129	18	7.99	0.00086
GO:0040029	epigenetic regulation of gene expression	173	22	10.71	0.00087
GO:0002252	immune effector process	578	54	35.79	0.00093
GO:0030163	protein catabolic process	447	44	27.68	0.00103
GO:0043207	response to external biotic stimulus	599	55	37.09	0.00126
GO:0051707	response to other organism	599	55	37.09	0.00126
GO:0006955	immune response	752	66	46.56	0.00129
GO:0009127	purine nucleoside monophosphate biosynth...	112	16	6.93	0.00129
GO:0009168	purine ribonucleoside monophosphate bios...	112	16	6.93	0.00129
GO:0009607	response to biotic stimulus	614	56	38.02	0.00133
GO:0009968	negative regulation of signal transducti...	479	46	29.66	0.00133
GO:0009206	purine ribonucleoside triphosphate biosy...	134	18	8.3	0.00136
GO:0048585	negative regulation of response to stimu...	588	54	36.41	0.00140
GO:0140352	export from cell	784	68	48.54	0.00147
GO:0009145	purine nucleoside triphosphate biosynthe...	135	18	8.36	0.00148
GO:0009201	ribonucleoside triphosphate biosynthetic...	136	18	8.42	0.00161
GO:0010647	positive regulation of cell communicatio...	606	55	37.52	0.00166
GO:0040007	growth	690	61	42.72	0.00172
GO:0009142	nucleoside triphosphate biosynthetic pro...	137	18	8.48	0.00175
GO:0040008	regulation of growth	459	44	28.42	0.00178
GO:0044703	multi-organism reproductive process	1035	85	64.08	0.00179
GO:0023056	positive regulation of signaling	608	55	37.64	0.00179
GO:0022008	neurogenesis	891	75	55.17	0.00186
GO:0009156	ribonucleoside monophosphate biosyntheti...	116	16	7.18	0.00188
GO:0007166	cell surface receptor signaling pathway	892	75	55.23	0.00192
GO:0009124	nucleoside monophosphate biosynthetic pr...	117	16	7.24	0.00206
GO:0034504	protein localization to nucleus	162	20	10.03	0.00214
GO:0048699	generation of neurons	825	70	51.08	0.00224
GO:0051128	regulation of cellular component organiz...	1102	89	68.23	0.00228
GO:0051171	regulation of nitrogen compound metaboli...	1664	126	103.03	0.00230
GO:0000027	ribosomal large subunit assembly	67	11	4.15	0.00241
GO:0006950	response to stress	1527	117	94.54	0.00243
GO:0006937	regulation of muscle contraction	77	12	4.77	0.00245
GO:0043170	macromolecule metabolic process	2937	204	181.84	0.00250
GO:0006887	exocytosis	538	49	33.31	0.00287
GO:0008219	cell death	952	78	58.94	0.00319
GO:0008283	cell population proliferation	779	66	48.23	0.00322
GO:0048584	positive regulation of response to stimu...	682	59	42.23	0.00347
GO:0080090	regulation of primary metabolic process	1733	129	107.3	0.00395
GO:0000028	ribosomal small subunit assembly	62	10	3.84	0.00429
GO:0006754	ATP biosynthetic process	126	16	7.8	0.00440
GO:0007399	nervous system development	1097	87	67.92	0.00452
GO:0044085	cellular component biogenesis	1678	125	103.89	0.00470
GO:1900180	regulation of protein localization to nu...	73	11	4.52	0.00479
GO:0071840	cellular component organization or bioge...	2633	184	163.02	0.00529
GO:0032940	secretion by cell	769	64	47.61	0.00576
GO:0009987	cellular process	4475	283	277.07	0.00610
GO:0048468	cell development	1277	98	79.06	0.00659
GO:0042273	ribosomal large subunit biogenesis	144	17	8.92	0.00712
GO:0050789	regulation of biological process	3053	208	189.02	0.00747
GO:0016043	cellular component organization	2485	174	153.86	0.00764
GO:0051347	positive regulation of transferase activ...	182	20	11.27	0.00813
GO:0022607	cellular component assembly	1503	112	93.06	0.00866
GO:0048523	negative regulation of cellular process	1612	119	99.81	0.00874
GO:0051239	regulation of multicellular organismal p...	1169	90	72.38	0.00902
GO:0022618	ribonucleoprotein complex assembly	273	27	16.9	0.00943
